Date;Plat
2019-02-19;Frites
2019-02-21;Haricots verts
2019-02-25;Rillettes de thon et citron
2019-02-25;Lasagnes* napolitaines
2019-02-27;Choux rouges bio° à la mimolette
2019-02-28;Poêlée de légumes (carottes, haricots verts, pdt, brocolis)
2019-02-28;Camembert
2019-03-05;salade douceur au thon
2019-03-07;Ananas
2019-03-08;Salade verte
2019-03-11;Yaourt au citron BBC°
2019-03-13;Jambon fumé
2019-03-14;Radis bio
2019-03-19;menu depannage
2019-03-20;ananas en des frais bio
2019-03-22;Tortilla aux pommes de terre
2019-03-25;Boulettes de boeuf sauce tomate
2019-03-26;Carottes râpées bio°
2019-04-03;Radis bio
2019-04-03;Rôti de porc au jus°
2019-04-04;Banane
2019-04-08;Poulet fermier d'Ancenis
2019-04-12;Sauce bolognaise végétale
2011-01-03;Flan caramel
2019-04-15;Lasagnes végétales
2011-01-04;St paulin
2019-04-17;Riz et sauce tomate
2011-01-04;ananas
2019-04-19;Carottes
2011-01-07;Lait fermier
2019-04-23;Yaourt fermier° miel
2011-01-13;purée de p  de terre
2019-04-24;Fromage Chanteneige
2011-01-17;sauce bolognaise
2019-04-25;Choux blancs bio à la mimolette
2011-01-20;cordon bleu de volaille
2019-04-30;Chili de légumes au tofu bio riz
2011-01-21;Poisson
2019-05-02;Edam
2011-01-24;Poisson meunière
2019-05-03;Poisson meunière
2011-01-26;cornichons
2019-05-07;Marmite du Perray aux dés de saumon
2011-01-27;cuisse de poulet rôti au jus
2019-05-07;Galettes de légumes
2011-01-28;Omelette
2019-05-07;Morbier
2011-02-03;poelée asiatique
2019-05-14;Concombres
2011-02-04;Choux à la mimolette
2019-05-20;Céréales gourmandes bio
2011-02-07;Haricots verts
2019-05-27;Purée de brocolis
2011-02-09;Potage tomate
2019-05-29;Petits pois
2011-02-09;Riz
2019-06-04;Pastèque
2011-02-09;Ananas
2019-06-11;Riz
2011-02-10;Suisses aro
2019-06-17;-
2011-02-14;pomme vapeur
2019-06-18;Ratatouille
2011-02-16;et fruits rouges cuisinés
2019-06-19;Riz basmati lentilles corail, petits pois et curry
2011-02-17;Potage tomate/vermicelle
2019-06-19;Cantal
2011-02-21;sauté de boeuf AUX POIVRES
2019-06-26;Frites
2011-02-23;haricots verts
2019-06-27;Sauté de porc BBC°
2011-02-25;abricots sec
2019-07-01;Compote de pommes / biscuit
2011-03-01;Kiwi
2019-07-05;Salade verte
2011-03-03;concombres
2019-07-08;Tortilla aux pommes de terre
2011-03-09;Escalope de dinde au jus
2019-07-09;Concombres
2011-03-10;Rôti de porc
2019-07-10;Fromage blanc / Coulis
2011-03-10;merguez
2019-07-15;Fruit de saison
2011-03-10;Crème vanille
2019-07-16;Emmental
2011-03-11;Ananas
2019-07-19;Galette de soja  tomate / basilic et sauce tomate
2011-03-14;Crème anglaise
2019-07-24;Flan caramel
2011-03-16;Orange
2019-07-26;Cantal
2011-03-18;Parmentier de poisson maison
2019-07-31;Mogettes
2011-03-18;Salade verte
2019-08-05;Pastèque
2011-03-23;Tomates
2019-08-06;Concombres
2011-03-25;sauce crustacés
2019-08-08;Petits pois maraîcher
2011-04-01;Gruyère
2019-08-09;Epinards à la crème
2011-04-01;Kiwi
2019-08-22;Céréales gourmandes bio
2011-04-05;St Bricet
2019-08-26;Melon
2011-04-07;semoule
2019-08-29;Haricots verts/haricots beurre
2011-04-08;filet de poisson meunière
2019-08-30;Poisson sauce crème
2011-04-08;Brocolis
2019-08-30;Carottes à l'indienne
2011-04-12;Chèvre
2019-09-02;Melon
2011-04-14;Rôti de porc au jus
2019-09-02;Lasagnes végétales
2011-04-14;haricots blanc à la tomate
2019-09-10;Riz basmati
2011-04-15;pomme de terre rissolée
2019-09-10;Fromage blanc bbc et miel
2011-04-18;salade verte aux dés de gruyère
2019-09-11;Purée de potimarron bio°
2011-04-18;Choucroute de dinde ( saucisse)
2019-09-13;Radis bio
2011-04-22;Riz antillais
2019-09-16;Melon
2011-04-26;Pâté bio/cornichons
2019-09-18;Prunes
2011-04-28;Jambon blanc / jambon de dinde
2019-09-23;Pizza au fromage
2011-05-03;Crêpe au fromage
2019-09-26;Choux rouges bio°
2011-05-03;Haricots verts
2019-09-26;Pommes rissolées
2011-05-04;Gâteau au fromage Blanc (Poupart)
2019-09-30;Gateau au fromage blanc BBC°
2011-05-10;Concombres
2019-10-03;Crêpe tomate / mozzarella bio
2011-05-11;Betteraves cuite
2019-10-04;Riz basmati
2011-05-11;Pommes noisette
2019-10-08;Haché de poulet*
2011-05-12;haricots beurre et plats agro
2019-10-08;Pomme bio°
2011-05-13;Yaourt bio
2019-10-09;Mogettes
2011-05-18;poelee chinoise
2019-10-10;Demi-pamplemousse
2011-05-20;Yaourt aro
2019-10-11;Salade de pdt bio (tomates+concombres)
2011-05-23;Chili corn carne
2019-10-14;Marmelade de pommes
2011-05-24;Pilons de poulet confit
2019-10-17;Omelette bio
2011-05-27;poisson frais/sc crustace
2019-10-18;Raisin
2011-05-30;haricots beurre
2019-10-22;Endives / demi oeuf bio°
2011-06-06;sauté de dinde
2019-10-24;Petits pois maraîcher
2011-06-07;salade de tomates
2019-10-25;Poisson pané
2011-06-07;Riz
2019-10-25;Tarte au citron
2011-06-08;Chèvre
2019-10-29;Poisson pané
2011-06-08;macaron fraise rubharbe
2019-10-31;Petit suisses aromatisés
2011-06-28;Rôti de bœuf foid
2019-11-06;Céréales gourmandes bio
2011-06-30;epinards a la creme
2019-11-08;Fleur d'Anjou bio°
2011-07-19;Chèvre
2019-11-14;Emincé de boeuf* sauce moutarde
2011-07-20;Choux rouges
2019-11-14;Gateau au fromage blanc BBC°
2011-07-20;Yaourt bio
2019-11-18;Cantal
2011-07-21;cuisse de poulet rôtie
2019-11-20;Poire
2011-07-22;Gruyère
2019-11-21;Timbale de pâtes aux lardons
2011-07-26;Ile flottante
2019-11-29;Lieu sauce du Perray
2011-07-28;legumes
2019-12-02;Raviolis de légumes
2011-07-29;Melon
2019-12-02;Petits suisses aromatisés
2011-07-29;Betteraves
2019-12-03;Poire
2011-08-04;Tarte au fromage
2019-12-10;Gratinée de légumes (pdt, carottes, brocolis)
2011-08-05;Edam
2019-12-17;Crêpe au fromage
2011-08-10;Camembert
2019-12-20;"Pommes de terre ""sourire"""
2011-08-11;Pâtes
2019-12-23;Omelette bio
2011-08-19;Epinards
2019-12-31;Pave de dinde fermier sauce chasseur
2011-08-22;Pâtes
2020-01-03;Purée de brocolis
2011-08-22;Chèvre
2020-01-07;Potage tomate/vermicelle
2011-08-24;salsifis à la tomate
2020-01-08;Marmelade de pommes
2011-08-26;Mousseline de potiron
2020-01-10;Fromage blanc bbc et miel
2011-08-31;Pommes noisettes
2020-01-13;Demi-pamplemousse
2011-08-31;Prunes
2011-09-01;GRANDS MENAGES
2011-09-01;St Paulin
2011-09-05;Melon
2011-09-05;Salade verte
2011-09-05;Ile flottante
2011-09-06;filet de poulet au jus
2011-09-12;Poire
2011-09-14;Raisin
2011-09-15;Rôti de porc
2011-09-15;Rôti de dinde
2011-09-19;Carottes 5/1
2011-09-19;jus de veau
2011-09-21;Poisson pané/citron
2011-09-28;Kiwi
2011-09-29;brocolis ( beurre ail)
2011-09-30;Champanet
2011-10-04;mimolette en des
2011-10-05;salade verte
2011-10-05;Filet de poulet
2011-10-11;grèves
2011-10-12;Poire
2011-10-14;tome blanche
2011-10-20;Pomme bio
2011-10-21;Tomme bio
2011-10-26;Parmentier de la mer
2011-10-27;banane
2011-10-31;Escalope de dinde niçoise
2011-11-09;Clémentines
2011-11-16;Crêpe fromage
2011-11-23;miette de surimi
2011-11-23;Gruyère reape
2011-11-24;chipo de volaille
2011-11-25;Morbier
2011-11-29;Kiwi
2011-12-06;rôti de dinde
2011-12-07;purée de patate douce
2011-12-12;jus d'oranges
2011-12-12;chocolat
2011-12-14;Courgettes tomate
2011-12-20;citron
2011-12-20;ratatouille maison
2011-12-21;camembert
2011-12-23;Filet de lieu/surgele
2011-12-26;pamplemousse
2011-12-27;Petits pois
2011-12-27;St paulin
2011-12-29;Crème de gruyère
2012-01-04;Concombres crème
2012-01-06;filet surgele printaniere
2012-01-06;Lait fermier
2012-01-10;potage légumes+ croûtons
2012-01-11;Brocolis
2012-01-12;carottes râpées bio
2012-01-12;Yaourt bio
2012-01-17;Choux rouges bio
2012-01-17;St Bricet
2012-01-19;salade de blé (blé, maïs, tomates)
2012-01-19;Gouda
2012-01-20;Parmentier de poisson maison
2012-01-23;NOUVEL AN CHINOIS
2012-01-24;Pomme bio
2012-01-26;Tomme chèvre/brebis
2012-01-27;Omelette
2012-01-27;Tagliatelles ultra résistantes Panzani plus
2012-01-30;salade verte
2012-01-30;Flan caramel
2012-02-06;salsifis creme
2012-02-08;sauce Normande
2012-02-10;poisson pané
2012-02-13;Blanquette de veau
2012-02-21;taboulé
2012-02-21;Chèvre
2012-02-22;Choux rouges bio
2012-02-22;haricots verts
2012-02-22;beignet chocolat
2012-02-29;Flageolet de vendée
2012-02-29;Cocktail de fruits
2012-03-06;Haricots verts
2012-03-06;Ananas
2012-03-08;purée de p de terre
2012-03-13;curry de porc
2012-03-14;Navarin d'agneau
2012-03-14;Semoule
2012-03-19;Pamplemousse
2012-03-21;Choux rouges au thon
2012-03-21;Riz au lait??
2012-03-23;Orange
2012-03-26;Parmentier de bœuf
2012-03-26;salade verte
2012-03-27;Poulet rôti au jus
2012-03-28;Pâtes
2012-04-03;Saucisse Chipolatas
2012-04-03;merguez de volaille
2012-04-10;Pilon de poulet confit
2012-04-10;gateaux from blanc
2012-04-12;Concombres
2012-04-16;st Paulin
2012-04-17;Salade aux noix
2012-04-18;Fromage blanc / fraises
2012-04-19;Gaspacho
2012-04-20;confites
2012-04-20;Poisson meunière
2012-04-24;Fromage vache/brebis
2012-04-25;tagine de veau aux épices
2012-05-07;Riz
2012-05-10;haricots beurre et plats
2012-05-10;Tomme bio PIRUDEL
2012-05-15;pommes noisette
2012-05-18;Centre de loisirs
2012-05-21;salade verte
2012-05-21;yaourt aro
2012-05-23;Banane
2012-05-24;Concombres
2012-05-29;pastèque
2012-05-30;Choux fleurs béchamel
2012-05-31;Compote de pomme
2012-06-01;Carottes vichy
2012-06-06;Concombres
2012-06-07;Petits pois cuisinés
2012-06-08;tarte saumon / epinards
2012-06-08;salade verte
2012-06-12;Tarte aux poireaux educalim
2012-06-13;Pavé de dinde au jus
2012-06-13;Carottes
2012-06-14;Gaspacho
2012-06-18;Melon1/8
2012-06-18;Raviolis
2012-06-22;Batonnière de légumes agro
2012-06-25;Riz
2012-06-25;salade de fruits frais
2012-06-26;Purée de carottes agro
2012-06-29;camembert
2012-06-29;Compote stock
2012-06-29;Biscuit
2012-07-02;Pâtes à la bolognaise
2012-07-03;rôti de porc
2012-07-04;Salade aux noix
2012-07-05;REPAS FROID
2012-07-06;pomme vapeur
2012-07-06;fromage blanc
2012-07-09;Salade verte au thon
2012-07-10;Chanteneige
2012-07-12;rôti de bœuf CCAS
2012-07-12;Banane
2012-07-16;yaourt bio
2012-07-18;tome blanche
2012-07-19;Tarte aux pommes
2012-07-23;Pizza
2012-07-23;Sauté de dinde à l'ananas
2012-07-24;mogette de Vendée
2012-07-26;Pastèque
2012-08-02;Eclair
2012-08-03;Melon
2012-08-03;parmentier de poisson
2012-08-07;Poisson meunière
2012-08-13;Melon
2012-08-14;Nectarine
2012-08-20;concombres
2012-08-23;Couscous aux boulettes de bœuf
2012-08-24;salade de tomates
2012-08-28;Haricots beurre
2012-08-29;abricots secs
2012-08-30;Escalope
2012-09-04;Gruyère
2012-09-05;salade de tomates
2012-09-05;Poire
2012-09-06;œuf dur
2012-09-06;Chili de légumes
2012-09-10;Crème dessert vanille
2012-09-12;Chanteneige
2012-09-13;Salade au thon
2012-09-20;jus de veau
2012-09-20;Brocolis
2012-09-20;Pomme
2012-09-21;salade verte
2012-09-25;Choux rouges bio
2012-09-27;Rôti de bœuf + sauce au poivre
2012-10-02;Raisin
2012-10-04;Lait bio
2012-10-09;Lasagnes
2012-10-15;Radis / beurre
2012-10-16;Haricots beurre
2012-10-23;Concombres à la crème
2012-10-25;Mogettes
2012-10-29;Semoule
2012-10-30;Brocolis
2012-10-30;Crème de gruyère
2012-10-31;Cocktail de fruits au sirop
2012-11-06;Timbale de pâtes
2012-11-08;Tarte au fromage
2012-11-09;Chanteneige
2012-11-12;Salade verte / demi-œuf
2012-11-19;Chèvre
2012-11-26;Hachis parmentier
2012-11-27;petits pois
2012-11-28;sauté de veau aigre doux
2012-11-29;Eclair chocolat
2012-11-30;St Paulin
2012-12-04;Haché de poulet/ketchup
2012-12-04;Kiwi bio
2012-12-05;Chanteneige
2012-12-06;Sauté de bœuf aux poivres
2012-12-06;pâtes
2012-12-07;salade de blé bio (blé bio, tomates, maïs)
2012-12-11;Tomme bio
2012-12-13;Haricots beurre
2012-12-18;Poisson pané
2012-12-20;REPAS NOEL
2012-12-20;Pommes duchesse  0.268 €
2012-12-21;Carottes à la crème
2012-12-24;saklade douceur
2012-12-25;NOËL
2012-12-26;Fromage blanc / abricots secs
2012-12-27;Salade de pommes de terre (Pommes de terre, tomates, concombres)
2013-01-02;Pizza au fromage
2013-01-03;Purée
2013-01-08;poisson Meunière
2013-09-03;Paëlla au poulet
2013-09-05;Rôti de dinde au jus
2013-09-06;Melon
2013-09-09;Petits pois maraîcher
2013-09-09;Pomme
2013-09-13;Bolognaise de légumes
2013-09-16;Choux fleurs au gratin bonduelle
2013-09-23;salade verte
2013-09-24;Menu japonnais
2013-09-24;gateaux yuzu
2013-09-26;Tarte pomme/rhubarbe
2013-09-30;Sauté de porc aux pruneaux
2013-10-03;Crème chocolat
2013-10-04;Raisin
2013-10-07;pomelos rosé
2013-10-10;Gaspacho/croûtons
2013-10-15;Lait bio
2013-10-16;Feuilleté fromage C'Pierre Clot
2013-10-17;Mâche aux noix
2013-10-17;Yaourt fermier / miel
2013-10-22;Carottes râpées
2013-10-22;Poisson + sauce niçoise
2013-10-23;Tarte au fromage
2013-10-29;pamplemousse vert
2013-10-31;poisson au beurre blanc
2013-10-31;Carottes
2013-11-06;Haricots verts
2013-11-08;Poire
2013-11-18;cornichons
2013-11-19;Poisson meunière
2013-11-19;ratatouille maison
2013-11-21;Rôti de bœuf
2013-11-22;Chili de légumes
2013-11-28;et râpé
2013-11-29;Nuggets de poisson
2013-12-02;Rillettes de thon
2013-12-02;Lasagnes
2013-12-04;Poire
2013-12-06;Chanteneige
2013-12-09;purée de légumes verts
2013-12-10;Yaourt bio
2013-12-16;Avocat/tomate/maïs
2013-12-18;et râpé
2013-12-20;abricots
2013-12-27;Riz
2013-12-30;Eclair
2014-01-07;lentilles cuisinés (boîtes)
2014-01-07;Maxi gervais Fruits rouges
2014-01-08;galette de rois
2014-01-10;concombre
2014-01-10;Poisson meunière
2014-01-13;j de dinde
2014-01-14;sauce niçoise
2014-01-17;Omelette
2014-01-20;Pâtes à la bolognaise
2014-01-21;jus de veau
2014-01-23;Purée de légumes verts
2014-01-23;Camembert
2014-01-24;Nuggets de poisson
2014-01-28;Liégeois chocolat
2014-02-03;thon
2014-02-03;grillé aux fruits
2014-02-06;Concombres
2014-02-10;Yaourt aromatisé
2014-02-12;Mâche au surimi
2014-02-13;Crème de gruyère
2014-02-14;Poisson meunière
2014-02-17;salade de pâtes agro confites
2014-02-19;Poulet rôti
2014-02-20;Blanquette de veau
2014-02-20;Riz
2014-02-21;Omelette
2014-02-27;Courgettes à la tomate
2014-03-04;lasagne
2014-03-05;Poisson au beurre blanc
2014-03-06;Ile flottante
2014-03-07;Omelette
2014-03-10;Petits pois
2014-03-12;Pâtes
2014-03-19;Salade au surimi
2014-03-21;Cassolette de poisson
2014-03-21;Palets brocolis/carottes
2014-03-24;Confit de poulet
2014-03-26;Nuggets de volaille
2014-03-27;Endives/demi-œuf (educalim)
2014-03-28;Courgettes à la tomate
2014-04-01;Jambon fumé
2014-04-04;Brocolis à la crème
2014-04-07;Haché de poulet
2014-04-07;expée direct des poches de 2,5kg
2014-04-08;sauté de veau Niçois
2014-04-09;Concombres à la crème
2014-04-09;Saucisse de Toulouse
2014-04-10;Purée de légumes verts
2014-04-11;Pomme
2014-04-14;Lait bio
2014-04-15;Salade de pommes de terre (pommes de terre, tomates, concombres)
2014-04-15;Palets brocolis/carottes
2014-04-17;Salade verte/surimi
2014-04-22;Pommes noisette
2014-04-25;St Paulin
2014-04-28;Radis/beurre
2014-04-29;Kiwi
2014-04-30;Fromage blanc
2014-05-05;riz ratatouille
2014-05-06;Brocolis
2014-05-09;Carottes à la crème
2014-05-13;PA lundi
2014-05-13;Petits pois
2014-05-16;Endives /demi-œuf educalim
2014-05-19;Concombres vgte
2014-05-19;Palet brocolis/carottes
2014-05-19;Beignet pomme
2014-05-28;Suisses aromatisés
2014-06-02;Melon
2014-06-04;Taboulé
2014-06-05;Jambon fumé
2014-06-05;Lentilles
2014-06-06;Pizza au fromage
2014-06-10;Saucisse de Toulouse
2014-06-11;Banane
2014-06-12;PA lundi
2014-06-16;Poulet fermier SDA
2014-06-16;Chanteneige
2014-06-19;Pommes potatoes
2014-06-26;Semoule de couscous SMR
2014-06-30;gruyre râpé
2014-07-02;Cocktail de fruits
2014-07-03;Rôti de bœuf / ketchup
2014-07-04;Terrine de poisson
2014-07-07;Salade verte
2014-07-09;Nectarine
2014-07-22;Crème de gruyère
2014-07-23;Tarte normande aux pommes
2014-07-24;Pastèque
2014-07-28;Tome blanche
2014-07-29;Gouda
2014-08-01;Taboulé Besson
2014-08-05;Couscous merguez/semoule
2014-08-07;Camembert
2014-08-11;Salade
2014-08-11;Pâtes à la bolognaise
2014-08-11;et gruyère râpé
2014-08-25;Dés de chèvre
2014-08-28;fromage fondu
2014-08-29;Beignet pomme
2014-08-29;Lait bio
2014-09-03;Concombres
2014-09-05;raisin chasselas
2014-09-08;Nuggets de poisson
2014-09-08;Yaourt aromatisé
2014-09-10;Crêpe au fromage
2014-09-11;Rôti de bœuf
2014-09-12;Prunes Reine-Claude
2014-09-15;Couscous merguez
2014-09-16;Ile flottante
2014-09-17;beurre
2014-09-18;Pâté bio
2014-09-23;Poisson
2014-09-25;Betteraves bio ?
2014-09-29;St Paulin
2014-09-30;jambon de dinde
2014-09-30;Raisin muscat
2014-10-01;Poire
2014-10-02;Rôti de bœuf
2014-10-02;ketchup
2014-10-03;Maxi Gervais aux fruits
2014-10-08;Betteraves cube
2014-10-09;Belle de Nantes Bio
2014-10-13;Pomme bio
2014-10-15;Salade de pâtes aux tomates confites
2014-10-16;miel coupelle
2014-10-21;Saucisse de volaille bio
2014-10-22;Blanquette de veau
2014-10-23;Tomme noire
2014-10-24;Salade carnaval
2014-10-29;Salsifis provençal
2014-11-03;Petits pois
2014-11-04;Gratin de choux fleurs agro
2014-11-04;Gouda
2014-11-07;sauce beurre blanc
2014-11-10;Potage potiron
2014-11-10;hachis parmentier de bœuf
2014-11-12;Pâtes tortis
2014-11-19;fricassée de poulet SDA
2014-11-20;Yaourt aromatisé
2014-11-24;gruyère râpés
2014-11-25;Frites
2014-11-25;Flan caramel
2014-12-01;Pilon de poulet confit
2014-12-05;lentilles cuisinées
2014-12-09;sauce poivre
2014-12-09;Petits pois 5/1
2014-12-09;banane
2014-12-10;Tagliatelles
2014-12-11;dinde
2014-12-15;lasagne de bœuf
2014-12-16;omelette
2014-12-17;jambon fumée
2014-12-24;tarte  chocolat/crème anglaise
2014-12-24;jus d'orange
2014-12-26;filet de poisson sauce crustacés
2014-12-26;Compote de pomme
2014-12-29;Potage légumes
2014-12-29;Jambon fumé
2014-12-31;purée 4 légumes verts
2015-01-02;salade blé et betterave
2015-01-02;Crème dessert Soulié chocolat
2015-01-07;Choux rouges / surimi
2015-01-07;sauce végétale
2015-01-07;gruyère râpé
2015-01-12;Haricots beurre 5/1 + Flageolets
2015-01-14;Chèvre
2015-01-15;Yaourt aro
2015-01-16;Chili de légumes
2015-01-19;ravioli
2015-01-23;Frites
2015-01-26;Suisses aromatisés
2015-01-28;Lentilles bio
2015-01-29;Bœuf Bourguignon
2015-01-30;Taboulé
2015-02-02;Mâche aux noix
2015-02-04;Potage tomate/vermicelle
2015-02-04;Petits pois
2015-02-09;et râpé
2015-02-10;Crème vanille
2015-02-12;Poulet fermier Terre à l'assiette
2015-02-16;Pomme
2015-02-24;Ananas
2015-02-25;Sauté de bœuf Terre à l'assiette
2015-02-25;Chèvre
2015-02-26;Mogettes
2015-02-27;Pommes rissolées
2015-03-02;Pâtes tortis à la bolognaise
2015-03-03;Endives au thon
2015-03-04;riz barquette
2015-03-05;tarte normande aux pommes
2015-03-09;Blanc de dinde
2015-03-10;Pamplemousse
2015-03-13;Rillettes de thon
2015-03-16;Flan caramel
2015-03-17;Rôti de porc
2015-03-18;Riz
2015-03-19;Pizza
2015-03-20;Eclair chocolat
2015-03-23;Haché de volaille
2015-03-24;Rôti de bœuf sauce au poivre
2015-03-26;Brocolis
2015-03-31;jus de veau
2015-04-01;Ananas
2015-04-03;Poisson +sauce armoricaine
2015-04-03;Gouda
2015-04-03;Orange
2015-04-07;Fromage blanc / miel
2015-04-08;Boulettes de bœuf
2015-04-09;GREVE
2015-04-09;Compote 5/1
2015-04-10;Epinards
2015-04-13;Blanc dinde
2015-04-14;Poisson sauce normande
2015-04-16;Liégeois chocolat
2015-04-20;Petits pois
2015-04-21;Pamplemousse
2015-04-21;salade verte
2015-04-30;Veau marengo
2015-05-05;Pommes rissolées
2015-05-11;Pilon de poulet
2015-05-12;Melon
2015-05-13;Banane
2015-05-18;Rillettes de thon
2015-05-19;Camembert
2015-05-20;Riz
2015-05-21;Choux blancs au surimi
2015-05-28;St Paulin
2015-06-04;Salade de lentilles bio
2015-06-10;Jambon fumé
2015-06-11;Sauté de veau sauce aigre douce
2015-06-15;Poulet fermier SDA
2015-06-16;Belle de nantes
2015-06-18;Rôti de bœuf / ketchup
2015-06-22;Salade au thon
2015-06-22;Crème dessert chocolat
2015-06-23;Jambon fumé
2015-07-01;Courgettes à l'égréné végétal
2015-07-02;Rôti de bœuf froid
2015-07-02;Chips
2015-07-06;Pastèque
2015-07-09;Pilon de poulet confit
2015-07-10;Pommes vapeur
2015-07-16;Marmelade pommes
2015-07-17;Fruit de saison
2015-07-20;Hachis Parmentier
2015-08-03;Pâtes à la bolognaise
2015-08-03;Fromage blanc / coulis de rhubarbe
2015-08-04;Pastèque
2015-08-04;Lentilles bio
2015-08-06;Crêpe au fromage
2015-08-06;Fruit
2015-08-18;Roulé au fromage
2015-08-20;et gruyère râpé
2015-08-20;Fruit
2015-08-25;roti de dinde
2015-08-27;Betteraves
2015-08-28;Poisson meunière
2015-08-28;ratatouille Bonduelle
2015-08-31;Pique-nique CL
2015-08-31;CCAS
2015-08-31;Semoule parfumée
2015-09-01;CCAS : melon
2015-09-02;Salade verte / dés de chèvre
2015-09-07;Gaspacho/croûtons
2015-09-08;Yaourt mixé Fruix Danone
2015-09-09;Tomme des Pyrénées
2015-09-10;Sauté de veau au curry / coco
2015-09-10;Frites
2015-09-10;Ile flottante
2015-09-11;carottes rapées
2015-09-14;Haché de poulet /ketchup
2015-09-16;purée de p de terre
2015-09-16;Remplacer fromage CCAS
2015-09-18;Tarte grillée aux pommes
2015-09-18;Céléri boule
2015-09-22;Crêpe au fromage
2015-09-22;CCAS : poisson frais
2015-09-23;Choux blancs
2015-09-24;MELODIE DES METS LOCAUX
2015-09-28;Pamplemousse
2015-09-28;Poêlée de légumes Collet
2015-09-30;Concombres
2015-09-30;Poisson meunière
2015-10-06;Concombres crème
2015-10-08;GREVE
2015-10-09;sauce beurre blanc
2015-10-09;CCAS : autre fromage
2015-10-09;Samedi 10/10/2015
2015-10-12;camembert
2015-10-13;Filet de poisson meunière
2015-10-16;CCAS : poisson frais
2015-10-16;Filet mignon de porc
2015-10-20;Pamplemousse
2015-10-21;Concombres
2015-10-22;forestière
2015-10-22;Pomme
2015-10-23;CCAS poisson frais
2015-10-26;Petits pois
2015-10-26;Fondu au chèvre
2015-10-29;Ile flottante
2015-10-30;Salade / demi-oeuf
2015-10-30;fruit de saison
2015-11-02;Salade de mâche
2015-11-03;Mogettes de Vendée
2015-11-05;Brocolis
2015-11-16;Poêlée de légumes Collet
2015-11-17;Chanteneige
2015-11-18;Encornets sauce rougail
2015-11-19;Crème vanille
2015-11-20;salade verte
2015-11-24;Rôti de dinde
2015-11-27;Camembert
2015-11-30;Salade de pâtes
2015-12-03;Riz
2015-12-10;Fromage Blanc
2015-12-14;Kiwi bio
2015-12-15;Ananas
2015-12-17;Pancake
2015-12-18;Riz basmati
2016-01-14;Chou rave râpé
2016-01-15;Riz basmati
2016-01-18;Petits pois
2016-01-19;Kiwi bio
2016-01-21;Ile flottante
2016-01-25;Ananas chantilly
2016-02-05;Tortilla
2016-02-10;Riz
2016-02-19;Tortis bio
2016-02-23;jambon fumée
2016-02-25;Salade de fruits exotiques et Lychee au sirop
2016-03-02;Banane
2016-03-03;Pâtes bio
2016-03-03;Yaourt bio
2016-03-04;Camembert
2016-03-11;Concombres
2016-03-16;Eclair chocolat
2016-03-22;Salade Sombrero 5/1
2016-03-22;sauté de veau
2016-03-24;Jambon fumé
2016-03-24;Ile flottante
2016-03-25;pommes parisienne ( skin on) (Mac Cain frais)
2016-03-30;pané Sarrazin Sirf
2016-04-05;Salade/surimi
2016-04-06;Smile
2016-04-12;Kiwi
2016-04-13;Sauté de porc BBC
2016-04-14;Frites
2016-04-19;Chaussée aux Moines
2016-04-19;Banane
2016-04-21;PA lundi avec porc
2016-04-21;Carottes râpées bio
2016-04-21;SAUCE Dijonnaise
2016-04-27;Saucisse de Toulouse bio
2016-04-29;Pizza
2016-04-29;Kiwi bio
2016-05-02;Poêlée de légumes Collet
2016-05-05;cuisine fermée
2016-05-09;Rillettes de thon/citron
2016-05-09;Lasagnes
2016-05-10;Pommes noisettes
2016-05-11;Sauté de veau à la basquaise
2016-05-12;GREVE
2016-05-12;Creme vanille
2016-05-13;Concombres vgte
2016-05-13;Carottes bio
2016-05-19;menu grève
2016-05-20;Céleri bio rémoulade
2016-05-23;ST Nectaire
2016-05-24;kiwi
2016-05-26;et gruyère râpé
2016-05-31;Semoule
2016-06-01;Tomme noire
2016-06-03;Fruit de saison
2016-06-09;Flan chocolat
2016-06-13;Melon
2016-06-15;Riz basmati
2016-06-17;Poisson + sauce thym et citron
2016-06-22;Duo carottes et céléri râpées bio
2016-06-28;Tartithon
2016-06-29;Cerises
2016-07-04;Pastèque
2016-07-05;repas de dépannage
2016-07-07;Tarte au citron
2016-07-08;Cerises
2016-07-08;Nombres plats bio et ou locaux / plats conventionnels 1/23 du 1 au 8/07
2016-07-12;Radis/beurre
2016-07-12;Jambon fumé
2016-07-12;Marmelade de pommes (mettre en barquettes pour les CL ??)
2016-07-20;Semoule au lait
2016-07-22;Pâtes bio
2016-07-22;Nombres plats bio et ou locaux / plats conventionnels  4/22
2016-07-25;Fondant a chocolat
2016-07-26;Radis/beurre
2016-08-01;Ile flottante
2016-08-02;Purée de pommes de terre
2016-08-04;Edam    Mimolette
2016-08-04;tarte grillée aux pommes
2016-08-05;Chanteneige
2016-08-08;Pastèque
2016-08-11;St Paulin
2016-08-11;Fruit de saison
2016-08-12;Poêlée rustique agro
2016-08-12;Gratinée de légumes
2016-08-22;Fondant a chocolat
2016-08-23;Rôti de porc
2016-08-26;Carottes râpées
2016-08-26;Suisses aromatisés
2016-08-29;Rillettes de thon
2016-08-29;Tomme blanche
2016-08-30;Haricots verts et beurre
2016-09-01;-
2016-09-05;Camembert
2016-09-06;Yaourt  fermier  bio°
2016-09-08;Riz basmati
2016-09-08;Liégeois chocolat
2016-09-16;Radis
2016-09-28;Oeufs durs à la mayonnaise
2016-10-03;Concombres sauce crème
