Date,autre_proteine,feculent,fruit,laitage,legume,sucrerie,sauce,poisson_fruit_mer,viande_blanche,viande_rouge,bio,industriel
2011-08-12,0.2,0.0,0.3,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2011-08-16,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
2011-08-17,0.0,0.125,0.25,0.25,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.25
2011-08-18,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
2011-08-19,0.0,0.125,0.0,0.25,0.375,0.0,0.125,0.125,0.0,0.0,0.0,0.25
2011-08-22,0.0,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.4444444444444444
2011-08-24,0.0,0.0,0.125,0.375,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2011-08-25,0.0,0.1,0.1,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2011-08-26,0.0,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.2,0.2
2011-08-29,0.0,0.08333333333333333,0.0,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333
2011-08-30,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2011-08-31,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,0.0,0.0625,0.25,0.25,0.3125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.25
2011-09-02,0.0,0.25,0.125,0.25,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.25
2011-09-05,0.0,0.08333333333333333,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.25
2011-09-06,0.0,0.125,0.0,0.125,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-09-07,0.05555555555555555,0.08333333333333333,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-09-08,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666
2011-09-09,0.0,0.125,0.0,0.375,0.375,0.0,0.0,0.125,0.0,0.0,0.25,0.0
2011-09-12,0.0,0.26666666666666666,0.26666666666666666,0.3,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2011-09-13,0.0,0.125,0.0,0.5,0.125,0.0,0.0,0.125,0.125,0.0,0.25,0.25
2011-09-14,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0
2011-09-15,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2011-09-16,0.0,0.0,0.125,0.0,0.25,0.0,0.25,0.375,0.0,0.0,0.0,0.25
2011-09-19,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0
2011-09-21,0.0,0.1,0.3,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.2
2011-09-22,0.0,0.25,0.125,0.0,0.25,0.125,0.0,0.0,0.25,0.0,0.0,0.25
2011-09-23,0.0,0.06666666666666667,0.2,0.2,0.26666666666666666,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.2
2011-09-26,0.125,0.0,0.125,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.25
2011-09-27,0.0,0.1,0.0,0.2,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.2
2011-09-28,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2011-09-29,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0
2011-09-30,0.0,0.25,0.375,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.5
2011-10-03,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.5
