index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
2234,2017-10-20,sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,10,tomate,fruit,True
2235,2017-10-25,Betteraves,0.0,0.0,1.0,0,0,10,betterave,legume,True
2238,2017-10-27,Banane,0.0,1.0,0.0,0,0,10,,,False
2242,2017-11-08,Poire,0.0,1.0,0.0,0,0,11,poire,fruit,True
2243,2017-11-09,Choux rouges bio au gruyère,0.0,0.0,0.5,1,0,11,chou,legume,True
2244,2017-11-10,Rillettes de thon avec citrons et salade,0.0,0.3333333333333333,0.3333333333333333,0,0,11,citron,fruit,True
2245,2017-11-10,Tortilla aux pommes de terre,0.0,1.0,0.0,0,0,11,pomme de terre,legume,True
2246,2017-11-13,Fromage blanc / Coulis de fruits rouges,0.0,0.5,0.0,0,0,11,,,False
2247,2017-11-17,Tarte au citron,0.0,1.0,0.0,0,0,11,citron,fruit,True
2249,2017-11-22,Beignet au chocolat,0.5,0.0,0.0,0,1,11,,,False
2251,2017-11-27,Betteraves aux dés de gruyère,0.0,0.0,0.5,0,0,11,betterave,legume,True
2253,2017-12-08,Crêpe au fromage,0.5,0.0,0.0,0,0,12,,,False
2254,2017-12-11,Potage au potiron,0.0,0.0,1.0,0,0,12,potiron,legume,True
2255,2017-12-12,Pommes vapeur bio,0.0,1.0,0.0,1,0,12,pomme de terre,legume,True
2257,2017-12-21,MUFFIN'S,0.5,0.0,0.0,0,1,12,,,False
2258,2017-12-22,Salade de perles,0.0,0.0,1.0,0,0,12,,,False
2260,2017-12-29,Dhal de lentilles bio°,0.5,0.0,0.5,1,0,12,,,False
2261,2018-01-02,Haricots verts/haricots beurre,0.5,0.0,0.5,0,0,1,haricots verts,legume,False
2262,2018-01-03,Petits pois,0.0,0.0,1.0,0,0,1,pois,feculent,False
2264,2018-01-05,Pommes vapeur bio,0.0,1.0,0.0,1,0,1,pomme de terre,legume,True
